query: 171 ,AP: 0.9841991063308005
query: 172 ,AP: 0.33340222599888975
query: 173 ,AP: 0.31567543366767686
query: 174 ,AP: 0.7837623025123026
query: 175 ,AP: 0.38910505836575876
query: 176 ,AP: 0.9009262938455572
query: 177 ,AP: 0.5071983940925266
query: 178 ,AP: 0.4349258382604033
query: 179 ,AP: 0.5362415852757823
query: 180 ,AP: 0.17093211555831836
query: 181 ,AP: 0.8784449891067538
query: 182 ,AP: 0.19305019305019305
query: 183 ,AP: 0.40261139546974
query: 184 ,AP: 0.4913751187211148
query: 185 ,AP: 0.7874829424643556
query: 186 ,AP: 0.865780741317506
query: 187 ,AP: 0.9368170982382031
query: 188 ,AP: 0.36961361516230273
query: 189 ,AP: 0.12419942509228223
query: 190 ,AP: 0.6069542727923912
query: 191 ,AP: 0.6612860715742275
query: 192 ,AP: 0.6412566209219471
query: 193 ,AP: 0.2927910231029232
query: 194 ,AP: 0.9027589886964886
query: 195 ,AP: 0.2561251639653753
query: 196 ,AP: 0.670590934782289
query: 197 ,AP: 0.8018388687068974
query: 198 ,AP: 0.5157256700559849
query: 199 ,AP: 0.2375296912114014
query: 200 ,AP: 0.38990957499276363
query: 201 ,AP: 0.37037037037037035
query: 202 ,AP: 0.6333502742108185
query: 203 ,AP: 0.04635527117796621
query: 204 ,AP: 0.8955971196910478
query: 205 ,AP: 0.5996269251361193
query: 206 ,AP: 0.7393691497709068
query: 207 ,AP: 0.7576644085514801
query: 208 ,AP: 0.30027491623197033
query: 209 ,AP: 0.16447368421052633
query: 210 ,AP: 0.6170820643072044
query: 211 ,AP: 0.8562161245017732
query: 212 ,AP: 0.6036681920460846
query: 213 ,AP: 0.37611673135240004
query: 214 ,AP: 0.6936091048965641
query: 215 ,AP: 0.30120481927710846
query: 216 ,AP: 0.5939181835210928
query: 217 ,AP: 0.44497251408872024
query: 218 ,AP: 0.24556753773279044
query: 219 ,AP: 0.26899219217558346
query: 220 ,AP: 0.38486226965736386
query: 221 ,AP: 0.1988071570576541
query: 222 ,AP: 0.3322528087616565
query: 223 ,AP: 0.7796197504641966
query: 224 ,AP: 0.775448717948718
query: 225 ,AP: 0.957056732521723
MAP = 0.5330725049635453
query 171 , NDCG:  0.9692912068993811
query 172 , NDCG:  0.9140975137410852
query 173 , NDCG:  0.4106873089767272
query 174 , NDCG:  0.8923867042591163
query 175 , NDCG:  0.7425509592426285
query 176 , NDCG:  0.7979067036416867
query 177 , NDCG:  0.6994188191743311
query 178 , NDCG:  0.7290081554224127
query 179 , NDCG:  0.6419612794808927
query 180 , NDCG:  0.47919859278247656
query 181 , NDCG:  0.7973880585790277
query 182 , NDCG:  0.48317036882681597
query 183 , NDCG:  0.9334739440870602
query 184 , NDCG:  0.657289608120126
query 185 , NDCG:  0.8492859942635851
query 186 , NDCG:  0.7982625507126624
query 187 , NDCG:  0.7336287368557511
query 188 , NDCG:  0.5394499939898107
query 189 , NDCG:  0.2698193939025438
query 190 , NDCG:  0.6812540167735646
query 191 , NDCG:  0.7420263390078213
query 192 , NDCG:  0.6995672265327972
query 193 , NDCG:  0.40049332775517527
query 194 , NDCG:  0.9053416289485289
query 195 , NDCG:  0.5761890524919981
query 196 , NDCG:  0.7506605908220092
query 197 , NDCG:  0.8583372627804899
query 198 , NDCG:  0.5650616742951504
query 199 , NDCG:  0.9188764054550188
query 200 , NDCG:  0.8012972829910111
query 201 , NDCG:  0.7696056311597761
query 202 , NDCG:  0.7933641616410014
query 203 , NDCG:  0.13226228479746177
query 204 , NDCG:  0.8351374707012883
query 205 , NDCG:  0.9185127202534908
query 206 , NDCG:  0.7118901528197593
query 207 , NDCG:  0.8192573443191097
query 208 , NDCG:  0.637957527964691
query 209 , NDCG:  0.7335235281932502
query 210 , NDCG:  0.7645241615821637
query 211 , NDCG:  0.890258583255237
query 212 , NDCG:  0.8765327598652619
query 213 , NDCG:  0.9671106642947606
query 214 , NDCG:  0.8287772410706995
query 215 , NDCG:  0.5527757806583375
query 216 , NDCG:  0.8158158813584936
query 217 , NDCG:  0.5921866927671411
query 218 , NDCG:  0.4962399912576918
query 219 , NDCG:  0.3877165162211433
query 220 , NDCG:  0.46820467017107176
query 221 , NDCG:  0.7203354382864378
query 222 , NDCG:  0.5516217222796262
query 223 , NDCG:  0.7355380872692105
query 224 , NDCG:  0.8533895605520561
query 225 , NDCG:  0.7700888332494576
NDCG = 0.7065456019418237
