query: 171 ,AP: 0.9833369307940968
query: 172 ,AP: 0.3371687625949428
query: 173 ,AP: 0.32737934622685255
query: 174 ,AP: 0.7972507297938333
query: 175 ,AP: 0.38910505836575876
query: 176 ,AP: 0.886089959996881
query: 177 ,AP: 0.4653401945465848
query: 178 ,AP: 0.41051038273771767
query: 179 ,AP: 0.5836911622005546
query: 180 ,AP: 0.17271157167530224
query: 181 ,AP: 0.8784449891067538
query: 182 ,AP: 0.19305019305019305
query: 183 ,AP: 0.3965950580099138
query: 184 ,AP: 0.5043235179075601
query: 185 ,AP: 0.7892380748970754
query: 186 ,AP: 0.8607807413175059
query: 187 ,AP: 0.9934769857984143
query: 188 ,AP: 0.36292224770014686
query: 189 ,AP: 0.12507851891702806
query: 190 ,AP: 0.5720286889903101
query: 191 ,AP: 0.6592541659028109
query: 192 ,AP: 0.6950599712838033
query: 193 ,AP: 0.2533950023356128
query: 194 ,AP: 0.9068275851563894
query: 195 ,AP: 0.25585335565864303
query: 196 ,AP: 0.6414139879108638
query: 197 ,AP: 0.8262907299039878
query: 198 ,AP: 0.49109815656159245
query: 199 ,AP: 0.2375296912114014
query: 200 ,AP: 0.379504372471809
query: 201 ,AP: 0.37037037037037035
query: 202 ,AP: 0.6205546549950702
query: 203 ,AP: 0.047595150517625445
query: 204 ,AP: 0.8994610222940808
query: 205 ,AP: 0.6060606060606061
query: 206 ,AP: 0.7143276422965896
query: 207 ,AP: 0.7816878789477705
query: 208 ,AP: 0.30027491623197033
query: 209 ,AP: 0.162484288553155
query: 210 ,AP: 0.6013186892025746
query: 211 ,AP: 0.8637698595264385
query: 212 ,AP: 0.5903055076103568
query: 213 ,AP: 0.3710861856270742
query: 214 ,AP: 0.6931274073038283
query: 215 ,AP: 0.2981014906875492
query: 216 ,AP: 0.5894443884334954
query: 217 ,AP: 0.41966041120430286
query: 218 ,AP: 0.24123532440626003
query: 219 ,AP: 0.35460001986563483
query: 220 ,AP: 0.4151585635799762
query: 221 ,AP: 0.1988071570576541
query: 222 ,AP: 0.35003469489911565
query: 223 ,AP: 0.7684761168793831
query: 224 ,AP: 0.7611630036630037
query: 225 ,AP: 0.9872289176045429
MAP = 0.5342015345607777
query 171 , NDCG:  0.9527938859239503
query 172 , NDCG:  0.9149601580660057
query 173 , NDCG:  0.4262081046108922
query 174 , NDCG:  0.890747779114999
query 175 , NDCG:  0.7060592618965732
query 176 , NDCG:  0.8137843598609691
query 177 , NDCG:  0.6756140728746463
query 178 , NDCG:  0.786379290477364
query 179 , NDCG:  0.6358818972625863
query 180 , NDCG:  0.45904400448574273
query 181 , NDCG:  0.7973880585790277
query 182 , NDCG:  0.47353585971677636
query 183 , NDCG:  0.9406209916763422
query 184 , NDCG:  0.6442791811433259
query 185 , NDCG:  0.8492859942635851
query 186 , NDCG:  0.7964857835761114
query 187 , NDCG:  0.8351688757193857
query 188 , NDCG:  0.5198918166174461
query 189 , NDCG:  0.2780737137518055
query 190 , NDCG:  0.6943120714052511
query 191 , NDCG:  0.734176892781448
query 192 , NDCG:  0.7612733787138043
query 193 , NDCG:  0.3684567741795951
query 194 , NDCG:  0.9015955006741198
query 195 , NDCG:  0.6005675132999104
query 196 , NDCG:  0.726555441916076
query 197 , NDCG:  0.8472255025000217
query 198 , NDCG:  0.5614520368850593
query 199 , NDCG:  0.9046137126908289
query 200 , NDCG:  0.7636826980254062
query 201 , NDCG:  0.7624959738931167
query 202 , NDCG:  0.7857949668211217
query 203 , NDCG:  0.13349095404863798
query 204 , NDCG:  0.8362307551045658
query 205 , NDCG:  0.9147207818479473
query 206 , NDCG:  0.7060543448044819
query 207 , NDCG:  0.8252627976490451
query 208 , NDCG:  0.644436391097654
query 209 , NDCG:  0.7026156184378821
query 210 , NDCG:  0.753645878438511
query 211 , NDCG:  0.890258583255237
query 212 , NDCG:  0.862834809647083
query 213 , NDCG:  0.9622232235551959
query 214 , NDCG:  0.8230806505455427
query 215 , NDCG:  0.5468916400717928
query 216 , NDCG:  0.8099176315206646
query 217 , NDCG:  0.6015702634542226
query 218 , NDCG:  0.4899997550011071
query 219 , NDCG:  0.44808937550676664
query 220 , NDCG:  0.4876446362007501
query 221 , NDCG:  0.6963287210347119
query 222 , NDCG:  0.48771134077702927
query 223 , NDCG:  0.621132869770906
query 224 , NDCG:  0.8401683339336118
query 225 , NDCG:  0.8178012760169435
NDCG = 0.7038275670022469
